"taskid","k","n","time","heterogeneity","runtime_component","scope","replications_used","mean_seconds","sd_seconds","median_seconds","q25_seconds","q75_seconds","min_seconds","max_seconds"
1,2,50,50,1,"MetaVAR","all_attempts",10,36.6009606599808,45.0548249356081,8.74519884586334,8.51523673534393,71.7077613472939,8.08682775497437,109.476389408112
1,2,50,50,1,"MetaVAR Total","all_attempts",10,60.6857931137085,45.0043807612035,33.7153143882751,32.7401162981987,95.1534585952759,31.257563829422,133.381076812744
1,2,50,50,1,"Mplus DSEM Alternative Priors","all_attempts",10,272.354562115669,4.3642008685775,270.358058214188,269.509074091911,274.663489460945,267.606835842133,280.799745321274
1,2,50,50,1,"Mplus DSEM Default","all_attempts",10,270.81789457798,5.40129676545191,272.501117348671,267.665642738342,274.823215603828,261.123441457748,276.639118671417
1,2,50,50,1,"Stage 1","all_attempts",10,24.0848324537277,0.864272891803628,23.9777261018753,23.5306342244148,24.5481966137886,22.7861185073853,25.8134686946869
1,2,50,50,1,"Uncertainty-Uncorrected","all_attempts",10,1.04097483158112,0.0740197998782577,1.04204535484314,0.982760310173035,1.06856149435043,0.958129644393921,1.19823718070984
1,2,50,50,1,"Uncertainty-Uncorrected Total","all_attempts",10,25.1258072853088,0.921405311853513,25.0582321882248,24.5717596411705,25.5652142763138,23.7442481517792,27.0117058753967
1,2,50,50,1,"MetaVAR","successful",10,36.6009606599808,45.0548249356081,8.74519884586334,8.51523673534393,71.7077613472939,8.08682775497437,109.476389408112
1,2,50,50,1,"MetaVAR Total","successful",10,60.6857931137085,45.0043807612035,33.7153143882751,32.7401162981987,95.1534585952759,31.257563829422,133.381076812744
1,2,50,50,1,"Mplus DSEM Alternative Priors","successful",10,272.354562115669,4.3642008685775,270.358058214188,269.509074091911,274.663489460945,267.606835842133,280.799745321274
1,2,50,50,1,"Mplus DSEM Default","successful",10,270.81789457798,5.40129676545191,272.501117348671,267.665642738342,274.823215603828,261.123441457748,276.639118671417
1,2,50,50,1,"Stage 1","successful",10,24.0848324537277,0.864272891803628,23.9777261018753,23.5306342244148,24.5481966137886,22.7861185073853,25.8134686946869
1,2,50,50,1,"Uncertainty-Uncorrected","successful",10,1.04097483158112,0.0740197998782577,1.04204535484314,0.982760310173035,1.06856149435043,0.958129644393921,1.19823718070984
1,2,50,50,1,"Uncertainty-Uncorrected Total","successful",10,25.1258072853088,0.921405311853513,25.0582321882248,24.5717596411705,25.5652142763138,23.7442481517792,27.0117058753967
2,2,100,50,1,"MetaVAR","all_attempts",10,17.2000267744064,0.639738950501511,16.963080406189,16.833880841732,17.4308762550354,16.5278112888336,18.7633972167969
2,2,100,50,1,"MetaVAR Total","all_attempts",10,65.9901076793671,1.03025050534583,65.823274731636,65.3529942631721,66.4858804941177,64.4511940479279,68.0289235115051
2,2,100,50,1,"Mplus DSEM Alternative Priors","all_attempts",10,597.802650380135,11.9874699385039,594.04159963131,591.37633138895,606.797378599644,578.028326749802,614.876292943954
2,2,100,50,1,"Mplus DSEM Default","all_attempts",10,603.932624316216,9.27295610732322,603.522717237473,598.826745986938,608.094432294369,588.00683093071,619.482369661331
