"taskid","replications","replications_used","parnames","parameter","method","n","time","heterogeneity","ci","est","se","z","p","ll","ul","sig","zero_hit","theta_hit","sq_error","bias","rel_bias","se_bias","rel_se_bias","rmse","coverage","rejection_rate","power","type1_error","success_rate","n_bias","n_rmse","n_coverage","n_rejection","mcse_bias","mcse_rmse","mcse_coverage","mcse_rejection_rate","mcse_power","mcse_type1_error","summary_output_type"
1,10,10,"alpha[1,1]",2.87,"MetaVAR",50,50,1,"Normal",2.86316201110241,0.159429389862187,18.0213392057632,5.66970588126277e-59,2.55068614889532,3.17563787330949,1,0,1,0.00717425888000671,-0.00683798889759402,-0.0023825745287784,0.0704381244490822,0.791517281185998,0.0847009969245151,1,1,1,,1,10,10,10,10,0.0281415090565976,0.0183382659032022,0,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"alpha[2,1]",2.04,"MetaVAR",50,50,1,"Normal",2.02371339038522,0.156060617712407,13.1739878817875,8.00383996928564e-26,1.71784020026383,2.32958658050661,1,0,0.9,0.0301755786807258,-0.0162866096147795,-0.00798363216410761,-0.0262404916521141,-0.143940383816561,0.173711193308681,0.9,1,1,,1,10,10,10,10,0.0576486725567338,0.038895702359536,0.0948683298050514,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"alpha[3,1]",0.279946302379022,"MetaVAR",50,50,1,"Normal",0.254845396445124,0.027546843943733,9.38029446227558,1.05857921800792e-11,0.200854574427662,0.308836218462586,1,0,0.9,0.00118516424298542,-0.0251009059338985,-0.0896632879969749,0.00271163675977738,0.109185187773637,0.0344262144736452,0.9,1,1,,1,10,10,10,10,0.0078535820863476,0.00546239931322753,0.0948683298050514,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"alpha[4,1]",-0.0350962441749883,"MetaVAR",50,50,1,"Normal",-0.0310214480990008,0.0284783012654279,-1.06444580817003,0.3540155513109,-0.0868378929201211,0.0247949967221194,0,1,1,0.000302808064730528,0.0040747960759875,-0.116103479781789,0.0106456189823075,0.596972391101488,0.0174013811156048,1,0,0,,1,10,10,10,10,0.00563918928047921,0.00227230573193383,0,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"alpha[5,1]",-0.0480135064890023,"MetaVAR",50,50,1,"Normal",-0.0471954645412054,0.0205618892196627,-2.28465662879361,0.0865267659652578,-0.0874960268658468,-0.00689490221656411,0.8,0.2,1,0.000283576756874803,0.00081804194779688,-0.0170377464096328,0.00283220399821538,0.159743614330462,0.0168397374348534,1,0.8,0.8,,1,10,10,10,10,0.00560661874976004,0.00416531494085096,0,0.126491106406735,0.126491106406735,,"summary-fit-meta-var-mx-normal"
1,10,10,"alpha[6,1]",0.259829220674123,"MetaVAR",50,50,1,"Normal",0.228573283598531,0.0280572390096308,8.15418116015786,1.71713552028416e-12,0.173582105634022,0.283564461563039,1,0,0.8,0.00184671768623995,-0.0312559370755924,-0.120294157040918,-0.00303016615292045,-0.0974724695443757,0.0429734532733867,0.8,1,1,,1,10,10,10,10,0.00983070068581391,0.010337912538812,0.126491106406735,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"tau_sqr[1,1]",1.2,"MetaVAR",50,50,1,"Normal",1.22621368036269,0.25452317280215,4.81373202541738,1.50779016301009e-06,0.727357428439608,1.72506993228576,1,0,1,0.0216229151338239,0.0262136803626865,0.0218447336355721,0.102004474146445,0.668799793372936,0.147047322769998,1,1,1,,1,10,10,10,10,0.0482306473516889,0.0203417135760974,0,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"tau_sqr[2,1]",0.459565011723042,"MetaVAR",50,50,1,"Normal",0.554420640699393,0.194947950725598,2.79522205244137,0.0211248924069142,0.172329678417333,0.936511602981453,0.9,0.1,1,0.040418108861638,0.0948556289763509,0.206403069330082,0.0081012562490268,0.0433577713093696,0.201042554852544,1,0.9,0.9,,1,10,10,10,10,0.0590861127819566,0.0404880660384976,0,0.0948683298050514,0.0948683298050514,,"summary-fit-meta-var-mx-normal"
1,10,10,"tau_sqr[2,2]",1.1,"MetaVAR",50,50,1,"Normal",1.17661799226931,0.247758766842129,4.73182747303537,2.41908769765781e-06,0.691019732404683,1.66221625213394,1,0,0.9,0.087850380611212,0.0766179922693114,0.0696527202448286,-0.0540507092476566,-0.17908884090696,0.2963956487724,0.9,1,1,,1,10,10,10,10,0.0954405363865852,0.0543278447134279,0.0948683298050514,0,0,,"summary-fit-meta-var-mx-normal"
1,10,10,"tau_sqr[3,3]",0.0169378472675958,"MetaVAR",50,50,1,"Normal",0.0173050188028356,0.00728409808251827,2.2538385289368,0.0385471134701935,0.00302844890124252,0.0315815887044287,0.6,0.4,0.9,8.66002750422137e-05,0.000367171535239758,0.0216775797678966,-0.00251757184923448,-0.256851318883811,0.00930592687711513,0.9,0.6,0.6,,1,10,10,10,10,0.00309956018575259,0.00350786726945105,0.0948683298050514,0.154919333848297,0.154919333848297,,"summary-fit-meta-var-mx-normal"
