"taskid","replications","replications_used","parnames","method","default_priors","n","time","mean","median","sd","ll","ul","rhat","ess_bulk","ess_tail","mcse_mean","mcse_median","mcse_ll","mcse_ul","summary_output_type"
1,10,10,"psi[1,1]","BMLVAR",TRUE,50,50,1.286202744625,1.285545,0.037355080095181,1.2151366,1.361165125,1.00002247575534,34124.5111784559,38128.1025774852,0.00020225686025043,0.000250000000000006,0.000462499999999999,0.000539500000000004,"summary-fit-mplus-diagnostics"
1,10,10,"psi[2,1]","BMLVAR",TRUE,50,50,0.567038262575,0.566622,0.0312697748253019,0.507036675,0.6293853,1.00001655176664,34030.2859226409,38179.2233636875,0.000169505689942726,0.000209500000000001,0.00038999999999999,0.000441999999999998,"summary-fit-mplus-diagnostics"
1,10,10,"psi[2,2]","BMLVAR",TRUE,50,50,1.5498417916,1.5490875,0.0450825602698412,1.464022675,1.6405031,1.00002195723618,33765.4175619933,37925.5323531868,0.000245380930967554,0.000297999999999998,0.000545000000000018,0.00068649999999999,"summary-fit-mplus-diagnostics"
1,10,10,"mean(beta[1,1])","BMLVAR",TRUE,50,50,0.2814338085,0.281576,0.0319474114574234,0.218140375,0.34385535,1.00038785084327,8123.03569516136,17428.165296492,0.000386064988998589,0.000407499999999997,0.000633000000000002,0.000601999999999997,"summary-fit-mplus-diagnostics"
1,10,10,"mean(beta[2,1])","BMLVAR",TRUE,50,50,-0.032467105325,-0.032546,0.032402090105996,-0.09601655,0.03129245,1.00064314787689,5847.76734840479,14082.5181761628,0.000450542437230164,0.000487,0.000738999999999999,0.0006595,"summary-fit-mplus-diagnostics"
1,10,10,"mean(beta[1,2])","BMLVAR",TRUE,50,50,-0.04802111075,-0.047964,0.024255447899746,-0.095887125,-0.000597824999999989,1.00070522286295,2843.96618883056,7139.76600008736,0.000464205030106097,0.000493999999999999,0.000690000000000001,0.000648,"summary-fit-mplus-diagnostics"
1,10,10,"mean(beta[2,2])","BMLVAR",TRUE,50,50,0.2545628587,0.254743,0.0327610445770593,0.18978075,0.31852645,1.00040537709655,7223.33640641207,17073.736926926,0.00040504523103192,0.000438499999999997,0.0006435,0.000614999999999999,"summary-fit-mplus-diagnostics"
1,10,10,"mean(mu[1,1])","BMLVAR",TRUE,50,50,2.86314494095,2.86311,0.172089531298649,2.524337375,3.201519875,1.00003306231796,36840.6206568046,38039.6721560015,0.000896197914363987,0.00110249999999994,0.00271649999999999,0.00235900000000004,"summary-fit-mplus-diagnostics"
1,10,10,"mean(mu[2,1])","BMLVAR",TRUE,50,50,2.022854332725,2.0229275,0.168750802744872,1.6903352,2.35583425,1.00000987589561,36064.8294919351,37804.5501625425,0.000887580020195,0.00109349999999998,0.002328,0.0024205,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[1,1],beta[1,1])","BMLVAR",TRUE,50,50,0.027018851,0.0253325,0.0111236299554294,0.01037495,0.0533293,1.00041561559568,3565.48423287141,4854.50601528842,0.00017845791535123,0.0001775,0.000209,0.000378,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[2,1],beta[1,1])","BMLVAR",TRUE,50,50,0.0096382897,0.0087885,0.00841031568399357,-0.004541075,0.02865825,1.00042089706899,2770.57707417377,6111.72899519165,0.000157941043355424,0.0001555,0.0002035,0.0002975,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[2,1],beta[2,1])","BMLVAR",TRUE,50,50,0.024472477225,0.0226645,0.0114093154052266,0.007657925,0.051633225,1.0008606258646,2274.27722984713,2978.6335489329,0.00022159885654496,0.000222,0.0002415,0.0004065,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[1,2],beta[1,1])","BMLVAR",TRUE,50,50,-0.003587000525,-0.003108,0.00584020320824928,-0.0164791,0.006646025,1.00098608013972,1841.95119298078,4551.53637336787,0.000132430882444485,0.0001305,0.0002265,0.000176,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[1,2],beta[2,1])","BMLVAR",TRUE,50,50,0.001468479825,0.001453,0.00547767225317075,-0.009509125,0.012462075,1.00098362856507,1847.82352165025,5946.19456753635,0.000125977863411419,0.000125,0.0002085,0.0001815,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[1,2],beta[1,2])","BMLVAR",TRUE,50,50,0.009967092075,0.008972,0.00545288320855204,0.00243,0.02326905,1.001443400064,1324.69676650599,2252.29296554992,0.000134016696127833,0.000136,0.000101,0.000251,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[2,2],beta[1,1])","BMLVAR",TRUE,50,50,0.006229226825,0.0060195,0.00817906137384978,-0.00952405,0.023131075,1.00040078343734,3335.151909297,9097.07701311759,0.000138754333145369,0.0001375,0.0002265,0.000225,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[2,2],beta[2,1])","BMLVAR",TRUE,50,50,0.002978259425,0.003196,0.00788803042592097,-0.013414025,0.018128075,1.00093213828173,2776.56100839845,8607.42792016989,0.000147883759596705,0.0001455,0.000263,0.0001975,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[2,2],beta[1,2])","BMLVAR",TRUE,50,50,0.004285913825,0.003768,0.00604822482340939,-0.006247075,0.017727125,1.00064131540382,1807.20111985411,5081.84808217814,0.000138508580099992,0.000136,0.00018,0.000223,"summary-fit-mplus-diagnostics"
1,10,10,"cov(beta[2,2],beta[2,2])","BMLVAR",TRUE,50,50,0.029678325175,0.027934,0.0117551439834325,0.011943975,0.057600275,1.00091378052258,3011.16125546411,4726.07927107759,0.000200574102310407,0.000201,0.000222,0.000407000000000001,"summary-fit-mplus-diagnostics"
1,10,10,"cov(mu[1,1],mu[1,1])","BMLVAR",TRUE,50,50,1.426060131125,1.3817325,0.326831684895222,0.9187159,2.188393725,1.00003625839162,32675.8613252671,37402.2291265823,0.00179410569615642,0.00205000000000002,0.0024665,0.00764249999999996,"summary-fit-mplus-diagnostics"
1,10,10,"cov(mu[2,1],mu[1,1])","BMLVAR",TRUE,50,50,0.646634863675,0.6210215,0.248575631454557,0.231193175,1.207861475,1.00004484211625,31905.4025209989,36778.8202456629,0.00138390007767004,0.001548,0.002447,0.00558099999999999,"summary-fit-mplus-diagnostics"
1,10,10,"cov(mu[2,1],mu[2,1])","BMLVAR",TRUE,50,50,1.37423652995,1.331037,0.318904961061268,0.879843175,2.1187079,1.00004769373663,30456.4751456269,36712.368433552,0.00180872089963418,0.00198050000000001,0.00233449999999999,0.00743000000000001,"summary-fit-mplus-diagnostics"
1,10,10,"psi[1,1]","BMLVAR",FALSE,50,50,1.292382939025,1.291677,0.037424582982885,1.220978625,1.36765935,1.0000345107058,29219.1907158629,37612.4060405562,0.000220881193777223,0.000256000000000034,0.000474499999999989,0.000541500000000006,"summary-fit-mplus-priors-diagnostics"
