"taskid","output_type","method","replications_used","near_singular_rate","mcse_near_singular_rate","non_psd_rate","any_near_zero_variance_rate","any_boundary_variance_rate","median_min_eigenvalue"
19,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.4,0.4,-0.00755521707944569
20,"fit-meta-var-mx","MetaVAR",10,0.1,0.0948683298050514,0,0,0,0.000811620016067086
20,"fit-mplus","Mplus DSEM Default",10,,,,0,,
20,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
20,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0,0,-0.00684568498953291
21,"fit-meta-var-mx","MetaVAR",10,0,0,0,0,0,0.00135568832033849
21,"fit-mplus","Mplus DSEM Default",10,,,,0,,
21,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
21,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0,0,-0.00598088669238978
22,"fit-meta-var-mx","MetaVAR",10,0.5,0.158113883008419,0,0,0,5.21446069559948e-05
22,"fit-mplus","Mplus DSEM Default",10,,,,0,,
22,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
22,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.6,0.6,-0.0172967273039084
23,"fit-meta-var-mx","MetaVAR",10,0.4,0.154919333848297,0,0,0,0.000527196208062388
23,"fit-mplus","Mplus DSEM Default",10,,,,0,,
23,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
23,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,0.7,0.7,-0.0160128465351741
24,"fit-meta-var-mx","MetaVAR",10,0,0,0,0,0,0.0013942952617228
24,"fit-mplus","Mplus DSEM Default",10,,,,0,,
24,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
24,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0161226602895137
25,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,2.29356636463694e-09
25,"fit-mplus","Mplus DSEM Default",10,,,,0,,
25,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
25,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0408983514750293
26,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,3.3215757433922e-09
26,"fit-mplus","Mplus DSEM Default",10,,,,0,,
26,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
26,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0403633167221199
27,"fit-meta-var-mx","MetaVAR",10,0.9,0.0948683298050514,0,0,0,3.04515552509962e-09
27,"fit-mplus","Mplus DSEM Default",10,,,,0,,
27,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
27,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0364022139078823
28,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,2.80760740544068e-09
28,"fit-mplus","Mplus DSEM Default",10,,,,0,,
28,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
28,"fit-naive","Uncertainty-Uncorrected",7,1,0,1,1,1,-0.016504309197775
29,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,3.57356766480379e-09
29,"fit-mplus","Mplus DSEM Default",10,,,,0,,
29,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
29,"fit-naive","Uncertainty-Uncorrected",8,1,0,1,1,1,-0.0171862967814601
30,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,1.15836407172049e-09
30,"fit-mplus","Mplus DSEM Default",10,,,,0,,
30,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
30,"fit-naive","Uncertainty-Uncorrected",4,1,0,1,1,1,-0.0170982155794136
31,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,8.3780377858265e-10
31,"fit-mplus","Mplus DSEM Default",10,,,,0,,
31,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
31,"fit-naive","Uncertainty-Uncorrected",7,1,0,1,1,1,-0.00847525540578514
32,"fit-meta-var-mx","MetaVAR",10,1,0,0,0.2,0.2,8.73372102739937e-10
32,"fit-mplus","Mplus DSEM Default",10,,,,0,,
32,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
32,"fit-naive","Uncertainty-Uncorrected",10,1,0,1,1,1,-0.0084956745836112
33,"fit-meta-var-mx","MetaVAR",9,1,0,0,0.111111111111111,0.111111111111111,1.46587049107741e-09
33,"fit-mplus","Mplus DSEM Default",10,,,,0,,
33,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
33,"fit-naive","Uncertainty-Uncorrected",1,1,0,1,1,1,-0.00878570182883243
34,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,3.13884752924247e-09
34,"fit-mplus","Mplus DSEM Default",10,,,,0,,
34,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
34,"fit-naive","Uncertainty-Uncorrected",6,1,0,1,1,1,-0.0242841051466825
35,"fit-meta-var-mx","MetaVAR",10,1,0,0,0.1,0.1,1.77924155584146e-09
35,"fit-mplus","Mplus DSEM Default",10,,,,0,,
35,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
35,"fit-naive","Uncertainty-Uncorrected",8,1,0,1,1,1,-0.0218092432779557
36,"fit-meta-var-mx","MetaVAR",10,1,0,0,0,0,1.90256126643332e-09
36,"fit-mplus","Mplus DSEM Default",10,,,,0,,
36,"fit-mplus-priors","Mplus DSEM Alternative Priors",10,,,,0,,
36,"fit-naive","Uncertainty-Uncorrected",9,1,0,1,1,1,-0.0204761539276779
