"taskid","replications","replications_used","parnames","parameter","method","n","time","heterogeneity","ci","est","se","z","p","ll","ul","sig","zero_hit","theta_hit","sq_error","bias","rel_bias","se_bias","rel_se_bias","rmse","coverage","rejection_rate","power","type1_error","success_rate","n_bias","n_rmse","n_coverage","n_rejection","mcse_bias","mcse_rmse","mcse_coverage","mcse_rejection_rate","mcse_power","mcse_type1_error","summary_output_type"
9,10,10,"alpha[1,1]",0,"MetaVAR",200,200,1,"Normal",-0.00910901154587142,0.0156423318944115,-0.605336973724323,0.363340875374775,-0.0397674186931402,0.0215493956013973,0,1,1,0.000298893534113494,-0.00910901154587142,,0.00015328763831177,0.00989652013237704,0.0172885376510998,1,0,,0,1,10,10,10,10,0.00489806586284236,0.00213830913438019,0,0,,0,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[2,1]",0,"MetaVAR",200,200,1,"Normal",-0.0021673563795993,0.0151669955410428,-0.152629947485971,0.542344549421222,-0.0318941213937228,0.0275594086345242,0,1,1,0.000119707334745686,-0.0021673563795993,,0.00386262563528925,0.341693138803189,0.010941084715223,1,0,,0,1,10,10,10,10,0.00357475564152443,0.00171614233909347,0,0,,0,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[3,1]",0,"MetaVAR",200,200,1,"Normal",0.00238379149654275,0.0155024588786978,0.143077880765131,0.582573811123653,-0.028000469577518,0.0327680525706035,0,1,1,9.51084192968858e-05,0.00238379149654275,,0.00553440114980436,0.555213593292337,0.00975235455143453,1,0,,0,1,10,10,10,10,0.00315217662713483,0.00166116595888358,0,0,,0,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[4,1]",0,"MetaVAR",200,200,1,"Normal",0.0100620463141748,0.0165579718650418,0.594056244489663,0.474611961717634,-0.0223909821983346,0.0425150748266842,0.1,0.9,0.9,0.00035478299442664,0.0100620463141748,,-0.000226221042375001,-0.0134782198716887,0.0188356840711093,0.9,0.1,,0.1,1,10,10,10,10,0.00530762782750807,0.00388219933348954,0.0948683298050514,0.0948683298050514,,0.0948683298050514,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[5,1]",0.39487730015829,"MetaVAR",200,200,1,"Normal",0.387948949154509,0.011746813475729,33.1369790643454,2.00459188695661e-196,0.36492561780897,0.410972280500048,1,0,1,0.000135606398067155,-0.00692835100378126,-0.0175455793508616,0.00188080277481144,0.190634576813961,0.0116450160183297,1,1,1,,1,10,10,10,10,0.00311990652344939,0.00221202965340378,0,0,0,,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[6,1]",0.0524495944105686,"MetaVAR",200,200,1,"Normal",0.047738440648736,0.0119884531937557,3.99318758461365,0.00227688640786889,0.0242415041586306,0.0712353771388414,1,0,1,0.000162557388325263,-0.00471115376183261,-0.0898225012943724,-0.000499871067001433,-0.0400270730134875,0.0127497995405913,1,1,1,,1,10,10,10,10,0.00394915488227311,0.00247572147945722,0,0,0,,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[7,1]",0.124933589626799,"MetaVAR",200,200,1,"Normal",0.127940553171715,0.0121010605878798,10.5780987265468,4.32882323610108e-21,0.104222910244734,0.151658196098697,1,0,1,0.000172550573313292,0.00300696354491612,0.0240684955414993,-0.00137767754761992,-0.102211166488311,0.0131358506886038,1,1,1,,1,10,10,10,10,0.00426235124931505,0.00171444267094544,0,0,0,,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[8,1]",0.17897236563531,"MetaVAR",200,200,1,"Normal",0.183045738789273,0.011940737867098,15.3675947000669,1.15958059415732e-42,0.159642322620927,0.206449154957619,1,0,1,0.000106794508073707,0.00407337315396332,0.0227597883030925,0.00192951420883005,0.192735101591354,0.010334142832074,1,1,1,,1,10,10,10,10,0.003165826892549,0.00200300607321983,0,0,0,,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[9,1]",0.128225544115233,"MetaVAR",200,200,1,"Normal",0.130829823437393,0.0118045727072626,11.1043323227703,8.245431192582e-22,0.107693286078273,0.153966360796512,1,0,1,9.24879195000688e-05,0.00260427932215981,0.020310144442198,0.00204606367313474,0.209669701178649,0.00961706397504294,1,1,1,,1,10,10,10,10,0.00308591151151738,0.0013778019533209,0,0,0,,"summary-fit-meta-var-mx-k4-normal"
9,10,10,"alpha[10,1]",0.295050499001833,"MetaVAR",200,200,1,"Normal",0.285297393555782,0.0119021908988255,23.9975268570192,1.28670763335864e-104,0.261969528056963,0.3086252590546,1,0,0.8,0.000271330113584688,-0.00975310544605131,-0.0330557158149078,-0.0020901501706029,-0.149378160540242,0.016472101067705,0.8,1,1,,1,10,10,10,10,0.004424766757731,0.00313405870061148,0.126491106406735,0,0,,"summary-fit-meta-var-mx-k4-normal"
