"taskid","replications","replications_used","method","default_priors","n","time","chains","requested_iterations","retained_iterations_per_chain","burnin","retained_draws","level","elapsed_seconds","max_rhat","min_ess_bulk","min_ess_tail","n_rhat_na","n_rhat_gt_1_01","n_ess_bulk_na","n_ess_bulk_lt_100","n_ess_bulk_lt_200","n_ess_bulk_lt_400","n_ess_tail_na","n_ess_tail_lt_100","n_ess_tail_lt_200","n_ess_tail_lt_400","summary_output_type"
24,10,10,"BMLVAR",TRUE,200,,2,40000,20000,20000,40000,0.95,2923.22579803467,1.00320565121692,1161.90642106564,3118.38332323115,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
24,10,10,"BMLVAR",FALSE,200,,2,40000,20000,20000,40000,0.95,2802.77230641842,1.00275100357239,1271.46021152787,2923.01016778243,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
25,10,10,"BMLVAR",TRUE,50,50,2,40000,20000,20000,40000,0.95,271.212586140633,1.00315224399282,1199.61640912767,1768.54262913177,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
25,10,10,"BMLVAR",FALSE,50,50,2,40000,20000,20000,40000,0.95,273.280164074898,1.00430425819804,856.775460432146,1928.00559417365,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
26,10,10,"BMLVAR",TRUE,100,50,2,40000,20000,20000,40000,0.95,597.881792974472,1.005634435686,634.911746188575,1202.49573447506,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
26,10,10,"BMLVAR",FALSE,100,50,2,40000,20000,20000,40000,0.95,598.307112121582,1.00587369292874,742.263531803288,1637.04431070777,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
27,10,10,"BMLVAR",TRUE,200,50,2,40000,20000,20000,40000,0.95,1386.35673105717,1.01142943428169,369.128252856729,757.59358387219,0,1.1,0,0,0,1.4,0,0,0,0,"summary-fit-mplus-diagnostics"
27,10,10,"BMLVAR",FALSE,200,50,2,40000,20000,20000,40000,0.95,1369.37227742672,1.00903209093169,521.661312114787,1129.80158349842,0,0.8,0,0,0,0.1,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
28,10,10,"BMLVAR",TRUE,50,100,2,40000,20000,20000,40000,0.95,399.6430539608,1.00296034337943,1507.02292188581,2877.1151176647,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
28,10,10,"BMLVAR",FALSE,50,100,2,40000,20000,20000,40000,0.95,400.906495332718,1.00211948430813,1498.07915462886,3473.37532516573,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
29,10,10,"BMLVAR",TRUE,100,100,2,40000,20000,20000,40000,0.95,897.547509026527,1.00374292281456,935.341363681214,1940.61995520401,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
29,10,10,"BMLVAR",FALSE,100,100,2,40000,20000,20000,40000,0.95,876.632186889648,1.00311783883346,1218.0639526683,2546.17767223978,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
30,10,10,"BMLVAR",TRUE,200,100,2,40000,20000,20000,40000,0.95,2164.36266303062,1.00674276980831,602.646163430523,1367.96084195673,0,0.2,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
30,10,10,"BMLVAR",FALSE,200,100,2,40000,20000,20000,40000,0.95,2084.34435391426,1.00392930403221,872.89430246382,1984.26073382231,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
31,10,10,"BMLVAR",TRUE,50,200,2,40000,20000,20000,40000,0.95,647.353609728813,1.00191617187459,2260.57753381796,4441.47473857021,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
31,10,10,"BMLVAR",FALSE,50,200,2,40000,20000,20000,40000,0.95,640.387568473816,1.00124266411981,2778.7594189493,6326.11858774062,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
32,10,10,"BMLVAR",TRUE,100,200,2,40000,20000,20000,40000,0.95,1468.87911787033,1.00217310147692,1606.27657422435,3512.76349061301,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
32,10,10,"BMLVAR",FALSE,100,200,2,40000,20000,20000,40000,0.95,1438.27702708244,1.00183816319217,2120.40845463232,4491.7245252225,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
33,10,10,"BMLVAR",TRUE,200,200,2,40000,20000,20000,40000,0.95,3693.95830643177,1.00297393169302,1310.89265292666,2862.09028402677,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-diagnostics"
33,10,10,"BMLVAR",FALSE,200,200,2,40000,20000,20000,40000,0.95,3413.97425618172,1.00249714270691,1697.80349714385,3726.86035373464,0,0,0,0,0,0,0,0,0,0,"summary-fit-mplus-priors-diagnostics"
